Video link,Game,Ground pass,Group,ID,Minute,Outcome,Side,Swing,Target location
https://www.youtube.com/live/ybQDwsrwIfg?si=VTKacc_TzW7ZDUcu&t=6316,Brighton (H),Yes,,COR-1,104,Recycled,Right,,Corner R
https://www.youtube.com/live/ybQDwsrwIfg?si=uwwEjjbA3R2yT1el&t=5582,Brighton (H),Yes,Left front post,COR-2,91,Cleared,Left,Inswinger,A1
https://www.youtube.com/live/ybQDwsrwIfg?si=adkyMMFpczf71nGg&t=4858,Brighton (H),No,Right front post,COR-3,79,Woodwork,Right,Inswinger,B5
https://www.youtube.com/live/ybQDwsrwIfg?si=4kHDcPTIZx2TWe3S&t=4420,Brighton (H),Yes,Left front post,COR-4,63,Cleared,Left,Inswinger,A1
https://www.youtube.com/live/ybQDwsrwIfg?si=Rs-Vq3yAw8zhGekY&t=3543,Brighton (H),Yes,,COR-5,58,Saved,Right,,Corner R
https://www.youtube.com/live/ybQDwsrwIfg?si=aM126aZZp2VvaHe-&t=3510,Brighton (H),No,Right front post,COR-6,57,Saved,Right,Inswinger,B4
https://www.youtube.com/live/ybQDwsrwIfg?si=kNexKW4H6Q3YDqCh&t=2963,Brighton (H),Yes,Left front post,COR-7,48,Cleared,Left,Inswinger,A1
https://www.youtube.com/live/ybQDwsrwIfg?si=d_qx3qdxI2Xo0wBK&t=2986,Brighton (H),Yes,Left front post,COR-8,48,Turnover,Left,Inswinger,6L out
https://www.youtube.com/live/ybQDwsrwIfg?si=Wt3X_RD7BdpljEHV&t=2879,Brighton (H),No,Left back post,COR-9,46,No connection,Left,Inswinger,C4
https://www.youtube.com/live/ybQDwsrwIfg?si=SvuzeMktdLR2NkZx&t=616,Brighton (H),No,,COR-10,10,Cleared,Left,Inswinger,A5
https://www.youtube.com/live/ybQDwsrwIfg?si=TfjSvRrKwts9tKK4&t=494,Brighton (H),Yes,Left front post,COR-11,8,Miss,Left,Inswinger,A1
https://www.youtube.com/live/riU2fTHdt2w?si=xJCBhUXpHSHprkKb&t=6062,Man City (A),No,Left back post,COR-12,96,Cleared,Left,Inswinger,12R
https://www.youtube.com/live/riU2fTHdt2w?si=kdBiKn2iQ9C7AZdt&t=4621,Man City (A),No,Left back post,COR-13,72,Saved,Left,Inswinger,C5
https://www.youtube.com/live/riU2fTHdt2w?si=5riFN4hsBeRYscpf&t=4265,Man City (A),No,Left back post,COR-14,66,Recycled,Left,Inswinger,6R
https://www.youtube.com/live/riU2fTHdt2w?si=NRbBHsZQLoaZXZJ7&t=2066,Man City (A),No,Right front post,COR-15,34,Turnover,Right,Inswinger,A5
https://www.youtube.com/live/ZVEM4veQQ60?si=QptS8Q2TsUKReYpE&t=4974,Aston Villa (H),No,,COR-16,79,,Left,Inswinger,Blocked by 1st man
https://www.youtube.com/live/ZVEM4veQQ60?si=YIbr9rdcetheJsMT&t=4524,Aston Villa (H),No,,COR-17,72,,Left,,Corner L
https://www.youtube.com/live/ZVEM4veQQ60?si=pnh1mbKbsvCY6paK&t=2060,Aston Villa (H),No,,COR-18,34,,Left,Inswinger,E3
https://www.youtube.com/live/ZVEM4veQQ60?si=aRR2AYxm8-BJgTtZ&t=529,Aston Villa (H),No,Right back post,COR-19,9,,Right,Inswinger,C1
https://www.youtube.com/live/ZVEM4veQQ60?si=_qU9y8up7s3k4-z7&t=267,Aston Villa (H),No,Right back post,COR-20,4,,Right,Inswinger,B2
https://www.youtube.com/live/ZVEM4veQQ60?si=K5QRqClbuBlL0DN6&t=61,Aston Villa (H),No,,COR-21,1,,Left,Inswinger,D1
https://www.youtube.com/live/4HApshw5FTg?si=bkQZjlJygOcnbiJY&t=2142,Man Utd (A),No,,COR-22,36,,Right,Inswinger,B3
https://www.youtube.com/live/4HApshw5FTg?si=DcFS12KUiJXvnBYt&t=1611,Man Utd (A),No,Right front post,COR-23,27,,Right,Inswinger,B5
https://www.youtube.com/live/4HApshw5FTg?si=nW4AUs6X6BVsTtEs&t=1209,Man Utd (A),No,Right front post,COR-24,20,,Right,Inswinger,A6
https://www.youtube.com/live/aXBJsJDtoEg?si=FSVnNB0gq6feD7Xb&t=6081,West Ham (A),Yes,Left front post,COR-25,96,,Left,,B2
https://www.youtube.com/live/aXBJsJDtoEg?si=TjvznOAN7KbHL8yB&t=4740,West Ham (A),Yes,,COR-26,73,,Left,,18L
https://www.youtube.com/live/aXBJsJDtoEg?si=VXkIRx_Gf5f-RSD9&t=4804,West Ham (A),Yes,,COR-27,74,,Left,,Corner L
https://www.youtube.com/live/aXBJsJDtoEg?si=6ZKRK9M06114sNvw&t=4035,West Ham (A),Yes,,COR-28,61,Goal,Left,,Corner L
https://www.youtube.com/live/aXBJsJDtoEg?si=8y4MaQLwLCiFn3wo&t=3338,West Ham (A),Yes,,COR-30,50,,Right,,Corner R
https://www.youtube.com/live/aXBJsJDtoEg?si=38I4OVeKu1kIMJQc&t=1837,West Ham (A),No,Right back post,COR-31,31,,Right,Inswinger,6L
https://www.youtube.com/live/aXBJsJDtoEg?si=ntRLV8WoxWkSP8-n&t=1118,West Ham (A),Yes,,COR-32,19,,Left,,Corner L
https://www.youtube.com/live/aXBJsJDtoEg?si=uSHET_FCzmFXN333&t=959,West Ham (A),No,Right back post,COR-33,16,,Right,Inswinger,B2
https://www.youtube.com/live/aXBJsJDtoEg?si=jpeuAVKglJI4kglk&t=424,West Ham (A),No,Right back post,COR-34,7,,Right,Inswinger,12L
https://www.youtube.com/live/aXBJsJDtoEg?si=OY3g59iBCRekkyKQ&t=446,West Ham (A),Yes,Left front post,COR-35,8,,Left,Inswinger,A2 out
https://youtu.be/bnbw1Ozc_2M?si=Wu7nlKJZxpm54A_G&t=5910,London City (H),No,Left front post,COR-36,94,,Left,Inswinger,B2
https://youtu.be/bnbw1Ozc_2M?si=So_UfO1mhc7L_4xF&t=4955,London City (H),No,Right front post,COR-37,78,,Right,Inswinger,A4 out
https://youtu.be/bnbw1Ozc_2M?si=dp8kPU6iv4R_a5s3&t=4534,London City (H),No,,COR-38,71,,Right,Inswinger,B3
https://youtu.be/bnbw1Ozc_2M?si=yoCnv12qgfpJQYwf&t=4237,London City (H),Yes,,COR-39,66,,Left,,Corner L
https://youtu.be/bnbw1Ozc_2M?si=O4-pPluvJlfgUkNH&t=3481,London City (H),No,Left back post,COR-40,53,,Left,Inswinger,C6
https://youtu.be/bnbw1Ozc_2M?si=O8B3R-7Trjqp-qSQ&t=3435,London City (H),No,Right back post,COR-41,52,,Right,Inswinger,B1
https://youtu.be/bnbw1Ozc_2M?si=doDOXw8zJ_m7iOMo&t=2756,London City (H),No,Left back post,COR-42,46,,Left,Inswinger,6R
https://youtu.be/bnbw1Ozc_2M?si=QClTPpTvFrQ4GpM6&t=2075,London City (H),No,Right back post,COR-43,34,,Right,Inswinger,C2
https://youtu.be/bnbw1Ozc_2M?si=6su17Y9gVIPmlNPU&t=1988,London City (H),Yes,,COR-44,33,,Right,,Corner R
https://youtu.be/bnbw1Ozc_2M?si=8qqDV7D0Vz_tACve&t=1851,London City (H),No,Right back post,COR-45,31,,Right,Inswinger,12L
https://youtu.be/bnbw1Ozc_2M?si=nqmfk5GxFnezj1tQ&t=112,London City (H),No,Left front post,COR-46,2,,Left,Inswinger,A2